fc_name,object_name
启明创投,千麦医检
启明维创创业投资管理（北京）有限公司,千麦医检
KPCB凯鹏华盈中国,+1交友
华睿投资,+星人
杭州湖畔山南资本管理有限公司,+星人
浙江华睿控股有限公司,+星人
IDG资本,008同城批发
北京百度网讯科技有限公司,07073游戏网
百度,07073游戏网
百度公司,07073游戏网
和君资本,0glass
明照资本,0glass
铭道资本,0glass
极客帮创投,0hiCN猿团科技
蒋涛,0hiCN猿团科技
Blockchain Capital,0x project
Polychain,0x project
Polychain Capital,0x project
DCM资本,1 Mainstream Inc.
不公开的投资者,1000 Italy
上海合之力投资管理有限公司,1001号
创业黑马（北京）科技股份有限公司,1001号
合力投资,1001号
昆仑决,1001号
黑马基金,1001号
ClearVue锴明投资,1006.tv
红杉资本中国,1006.tv
经纬中国,1006.tv
智基创投IDT VC,100TV
丰厚资本,100kuai兼职
泽清资本,100kuai兼职
盛世鼎峰资本,100kuai兼职
薛蛮子,100kuai兼职
跨银资本,100kuai兼职
鼎信宏图,100kuai兼职
三胞集团,100kuai壹佰块兼职
丰厚投资,100kuai壹佰块兼职
兰璞创投,100kuai壹佰块兼职
泽清资本,100kuai壹佰块兼职
盛世鼎峰资本,100kuai壹佰块兼职
薛蛮子(蛮子基金),100kuai壹佰块兼职
跨银资本,100kuai壹佰块兼职
传媒梦工场,100头条(创派力量)
小米科技,100头条(创派力量)
三井物产环球投资,100度享乐网
上海新进创业投资管理有限公司,107间
北京洪泰同创投资管理有限公司,107间
新进创投,107间
洪泰基金,107间
上海无穹创业投资管理有限公司,108天
北京联创永宣投资管理股份有限公司,108天
博派资本,108天
无穹创投,108天
联创永宣,108天
Oliver Wyman,10xbanking
中国平安,10xbanking
中国平安保险（集团）股份有限公司,10xbanking
平安创新投资基金,10xbanking
蜂维创投,117运动
乾明投资,11Space
北京清科投资管理有限公司,11Space
清科创投,11Space
上海长鹰投资管理有限公司,11game
老鹰基金,11game
老鹰基金,11game上海长鹰软件
乾明投资,11space
